dc_date,year_month,dc_price,ptr,d_max_price,d_max_date,d_profit,d_roi,m_max_price,m_max_date,m_profit,m_roi
2024-09-30,2024-09,0.11442799866199493,93.69625085207907,0.11927399784326553,2024-10-01,0.004845999181270599,4.234976787093022,0.11442799866199493,2024-09-30,0.0,0.0
2024-10-07,2024-10,0.10865499824285507,100.0,0.10970400273799896,2024-10-08,0.0010490044951438904,0.9654452276546521,0.17922699451446533,2024-10-29,0.07057199627161026,64.95052911774441
2024-11-14,2024-11,0.36164599657058716,90.08760149416412,0.38424599170684814,2024-11-15,0.022599995136260986,6.249203738067608,0.47745999693870544,2024-11-23,0.11581400036811829,32.02413450345312
2024-11-16,2024-11,0.3637480139732361,91.4438218242459,0.37355801463127136,2024-11-17,0.009810000658035278,2.696922122235169,0.47745999693870544,2024-11-23,0.11371198296546936,31.261196926792316
2024-12-18,2024-12,0.358038991689682,96.1053137701248,0.36703601479530334,2024-12-19,0.008997023105621338,2.512861256580456,0.36703601479530334,2024-12-19,0.008997023105621338,2.512861256580456
2024-12-27,2024-12,0.31103599071502686,90.96788255983003,0.3258579969406128,2024-12-28,0.014822006225585938,4.765366924744717,0.3289330005645752,2024-12-29,0.01789700984954834,5.75399966042698
2025-01-07,2025-01,0.34843701124191284,99.96958576903651,0.3551110029220581,2025-01-08,0.006673991680145264,1.9154083707576188,0.43351200222969055,2025-01-18,0.08507499098777771,24.416175160196126
2025-01-19,2025-01,0.35775700211524963,90.08357445550253,0.3849729895591736,2025-01-20,0.02721598744392395,7.607394763207585,0.4001699984073639,2025-01-21,0.04241299629211426,11.855252599207303
2025-01-26,2025-01,0.336326003074646,99.87933526531141,0.33674100041389465,2025-01-27,0.0004149973392486572,0.12339139271266829,0.3406769931316376,2025-01-31,0.004350990056991577,1.293682325248546
2025-02-24,2025-02,0.21035900712013245,94.2629304501867,0.21392099559307098,2025-02-25,0.0035619884729385376,1.6932902097718816,0.21392099559307098,2025-02-25,0.0035619884729385376,1.6932902097718816
2025-03-08,2025-03,0.19217200577259064,92.73156301886915,0.19399699568748474,2025-03-09,0.001824989914894104,0.9496648107288482,0.20537899434566498,2025-03-26,0.01320698857307434,6.872483075762352
2025-03-09,2025-03,0.16780300438404083,94.52905108986623,0.18028299510478973,2025-03-10,0.012479990720748901,7.43728681531034,0.20537899434566498,2025-03-26,0.037575989961624146,22.39291846981845
2025-03-10,2025-03,0.1540600061416626,90.6773822718464,0.1683170050382614,2025-03-11,0.014256998896598816,9.2541855953771,0.20537899434566498,2025-03-26,0.05131898820400238,33.31103865906191
2025-04-08,2025-04,0.14210699498653412,96.10207194050113,0.16402600705623627,2025-04-09,0.02191901206970215,15.424301999897446,0.19244299829006195,2025-04-26,0.05033600330352783,35.421200278211224
2025-04-14,2025-04,0.15850099921226501,92.58588035527691,0.16106100380420685,2025-04-15,0.0025600045919418335,1.6151346708631582,0.19244299829006195,2025-04-26,0.033941999077796936,21.4143754591362
2025-04-15,2025-04,0.15354999899864197,96.25781293265935,0.1570030003786087,2025-04-16,0.003453001379966736,2.248779812754851,0.19244299829006195,2025-04-26,0.03889299929141998,25.32920843051517
2025-05-03,2025-05,0.1757570058107376,96.19558906897801,0.177264004945755,2025-05-04,0.001506999135017395,0.8574333228230991,0.25873899459838867,2025-05-11,0.08298198878765106,47.214043278029834
2025-05-04,2025-05,0.17055200040340424,94.62840648397912,0.1745380014181137,2025-05-05,0.003986001014709473,2.3371177149968574,0.25873899459838867,2025-05-11,0.08818699419498444,51.70680730005921
2025-05-23,2025-05,0.22481399774551392,96.52802226859849,0.23036199808120728,2025-05-24,0.005548000335693359,2.467818014594275,0.2320069968700409,2025-05-27,0.0071929991245269775,3.199533479525303
2025-05-29,2025-05,0.21483300626277924,98.1132627128174,0.21629999577999115,2025-05-30,0.001466989517211914,0.6828510864003472,0.21629999577999115,2025-05-30,0.001466989517211914,0.6828510864003472
2025-05-30,2025-05,0.19343599677085876,94.616217082849,0.1953520029783249,2025-05-31,0.0019160062074661255,0.9905117141851297,0.1953520029783249,2025-05-31,0.0019160062074661255,0.9905117141851297
2025-06-04,2025-06,0.18823599815368652,91.46895078984213,0.1923760026693344,2025-06-05,0.004140004515647888,2.1993691728761435,0.20433199405670166,2025-06-11,0.016095995903015137,8.55096584122738
2025-06-12,2025-06,0.18154799938201904,92.23652838472697,0.18154799938201904,2025-06-13,0.0,0.0,0.18154799938201904,2025-06-13,0.0,0.0
2025-06-16,2025-06,0.1726980060338974,100.0,0.17589500546455383,2025-06-17,0.003196999430656433,1.851208073606201,0.17589500546455383,2025-06-17,0.003196999430656433,1.851208073606201
2025-07-01,2025-07,0.15775099396705627,92.43055191228163,0.17243899405002594,2025-07-02,0.014688000082969666,9.310876409461493,0.2867560088634491,2025-07-21,0.12900501489639282,81.7776241228207
2025-07-28,2025-07,0.2252259999513626,98.73722261939582,0.2324489951133728,2025-07-29,0.007222995162010193,3.206998820549135,0.2324489951133728,2025-07-29,0.007222995162010193,3.206998820549135
2025-07-31,2025-07,0.2098730057477951,95.9802988279339,0.21203500032424927,2025-08-01,0.0021619945764541626,1.0301441906503386,0.2098730057477951,2025-07-31,0.0,0.0
2025-08-11,2025-08,0.22255000472068787,95.02163543300524,0.2378000020980835,2025-08-12,0.01524999737739563,6.852391396951525,0.25477901101112366,2025-08-14,0.03222900629043579,14.481692027319845
2025-08-19,2025-08,0.20904800295829773,99.50589859922297,0.22272199392318726,2025-08-20,0.013673990964889526,6.541077059519819,0.244501993060112,2025-08-24,0.03545399010181427,16.959736328544054
2025-08-21,2025-08,0.21474899351596832,93.45495139978813,0.24172499775886536,2025-08-22,0.026976004242897034,12.561644085605995,0.244501993060112,2025-08-24,0.029752999544143677,13.854779506536454
2025-08-25,2025-08,0.20982399582862854,90.25236013095349,0.21982400119304657,2025-08-26,0.01000000536441803,4.765901690569951,0.22587800025939941,2025-08-28,0.016054004430770874,7.651176581291878
2025-08-31,2025-08,0.21381500363349915,96.58664083234942,0.21962599456310272,2025-09-01,0.005810990929603577,2.7177657464881233,0.21381500363349915,2025-08-31,0.0,0.0
2025-09-19,2025-09,0.26538699865341187,91.74834635317318,0.26914501190185547,2025-09-20,0.0037580132484436035,1.4160502464370779,0.26968398690223694,2025-09-21,0.004296988248825073,1.619140451728316
2025-09-21,2025-09,0.2611590027809143,96.28396686537121,0.26204100251197815,2025-09-22,0.0008819997310638428,0.3377251872123858,0.26204100251197815,2025-09-22,0.0008819997310638428,0.3377251872123858
2025-09-25,2025-09,0.22270600497722626,94.42150438495396,0.2332880049943924,2025-09-26,0.010582000017166138,4.751555764402601,0.2386849969625473,2025-09-29,0.015978991985321045,7.1749264178821965
2025-10-07,2025-10,0.24731600284576416,99.71363405614218,0.26093098521232605,2025-10-08,0.01361498236656189,5.505095590216506,0.26093098521232605,2025-10-08,0.01361498236656189,5.505095590216506
2025-10-15,2025-10,0.19632700085639954,90.45434922751257,0.20123499631881714,2025-10-16,0.0049079954624176025,2.4999085408570383,0.2093150019645691,2025-10-27,0.012988001108169556,6.615494074434232
2025-10-25,2025-10,0.19659100472927094,90.21921848331247,0.20641100406646729,2025-10-26,0.00981999933719635,4.995141741464545,0.2093150019645691,2025-10-27,0.012723997235298157,6.472319144418945
2025-10-27,2025-10,0.20038199424743652,93.91296174452486,0.202906996011734,2025-10-28,0.0025250017642974854,1.2600941385878974,0.202906996011734,2025-10-28,0.0025250017642974854,1.2600941385878974
2025-11-11,2025-11,0.17202499508857727,98.84979432969172,0.17828400433063507,2025-11-12,0.0062590092420578,3.6384301239683094,0.17828400433063507,2025-11-12,0.0062590092420578,3.6384301239683094
2025-11-17,2025-11,0.15189200639724731,92.53031481650956,0.1625330001115799,2025-11-18,0.01064099371433258,7.005631149872955,0.1625330001115799,2025-11-18,0.01064099371433258,7.005631149872955
